"","town11cd","town11nm","population_2011","size_flag","rgn11nm","coastal","coastal_detailed","ttwa11cd","ttwa11nm","ttwa_classification","job_density_flag","income_flag","university_flag","level4qual_residents35_64_2011","ks4_2012_2013_counts","key_stage_2_attainment_school_year_2007_to_2008","key_stage_4_attainment_school_year_2012_to_2013","level_2_at_age_18","level_3_at_age_18","activity_at_age_19_full_time_higher_education","activity_at_age_19_sustained_further_education","activity_at_age_19_appprenticeships","activity_at_age_19_employment_with_earnings_above_0","activity_at_age_19_employment_with_earnings_above_10_000","activity_at_age_19_out_of_work","highest_level_qualification_achieved_by_age_22_less_than_level_1","highest_level_qualification_achieved_by_age_22_level_1_to_level_2","highest_level_qualification_achieved_by_age_22_level_3_to_level_5","highest_level_qualification_achieved_by_age_22_level_6_or_above","highest_level_qualification_achieved_b_age_22_average_score","education_score"
"11","E34000068","Studley BUA",6203,"Small Towns","West Midlands","Non-coastal","Smaller non-coastal town","E30000169","Birmingham","Majority conurbation","Working","Lower deprivation towns","No university","Medium",77,85.7142857142857,68.8311688311688,92.2077922077922,62.3376623376623,45.4545454545455,19.4805194805195,NA,42.8571428571429,20.7792207792208,NA,NA,16,50.7,33.3,3.88311688311688,4.304494117
"12","E34000086","Irthlingborough BUA",7502,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000224","Kettering and Wellingborough","Majority town and city (small)","Residential","Mid deprivation towns","No university","Low",92,68.2352941176471,55.4347826086957,75,34.7826086956522,16.304347826087,31.5217391304348,21.7391304347826,47.8260869565217,27.1739130434783,11.9565217391304,NA,30.9,51.1,NA,3,-4.001866891
"13","E34000109","Freshwater BUA",7829,"Small Towns","South East","Coastal","Smaller seaside town","E30000070","Isle of Wight","Majority town and city (small)","Residential","Higher deprivation towns","No university","Medium",71,56.0606060606061,46.4788732394366,76.056338028169,42.2535211267606,28.169014084507,25.3521126760563,14.0845070422535,54.9295774647887,30.9859154929577,NA,NA,30,44.3,NA,3.22535211267606,-5.023115005
"14","E34000115","Barnoldswick BUA",10435,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000182","Burnley","Majority town and city (Large Towns)","Mixed","Mid deprivation towns","No university","Low",129,67.7165354330709,58.9147286821705,85.2713178294574,49.6124031007752,27.1317829457364,27.1317829457364,14.7286821705426,51.937984496124,31.7829457364341,8.52713178294574,NA,16.8,57.3,22.9,3.4031007751938,-1.26838592
"15","E34000156","Wirksworth BUA",5038,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000200","Derby","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Medium",57,70.9090909090909,59.6491228070175,75.4385964912281,47.3684210526316,26.3157894736842,24.5614035087719,NA,43.859649122807,31.578947368421,NA,NA,30.9,49.1,NA,3.31578947368421,-1.264372252
"16","E34000161","Dalton-in-Furness BUA",7827,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000163","Barrow-in-Furness","Majority town and city (small)","Residential","Mid deprivation towns","No university","Low",112,78.6407766990291,57.1428571428571,79.4642857142857,42.8571428571429,26.7857142857143,38.3928571428571,26.7857142857143,50.8928571428571,32.1428571428571,NA,NA,22.3,53.6,22.3,3.41964285714286,-0.718396082
"17","E34000174","Bedlington BUA",16974,"Small Towns","North East","Non-coastal","Smaller non-coastal town","E30000173","Blyth and Ashington","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",213,59.7222222222222,51.1737089201878,86.8544600938967,40.3755868544601,25.8215962441315,35.2112676056338,25.3521126760563,50.7042253521127,23.943661971831,12.6760563380282,NA,31.2,42.8,23.3,3.30985915492958,-4.061010691
"18","E34000175","Brigg BUA",6787,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000260","Scunthorpe","Majority town and city (Large Towns)","Working","Higher deprivation towns","No university","Low",62,74.6268656716418,72.5806451612903,88.7096774193548,48.3870967741936,32.258064516129,20.9677419354839,NA,41.9354838709677,17.741935483871,NA,NA,21.7,60,NA,3.38709677419355,0.742113567
"19","E34000181","Widnes BUA",61464,"Medium Towns","North West","Non-coastal","Large non-coastal town","E30000284","Warrington and Wigan","Majority conurbation","Mixed","Higher deprivation towns","No university","Low",734,74.9654218533887,62.9427792915531,80.2452316076294,51.0899182561308,31.3351498637602,20.9809264305177,12.9427792915531,46.7302452316076,22.0708446866485,11.1716621253406,2.6,24.4,47.1,25.9,3.45640326975477,0.263105429
"20","E34000182","Hethersett BUA",5520,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000248","Norwich","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",63,76.1904761904762,68.2539682539683,90.4761904761905,55.5555555555556,31.7460317460317,20.6349206349206,17.4603174603175,57.1428571428571,19.047619047619,NA,NA,18.5,47.7,NA,3.55555555555556,1.608629917
"21","E34000184","Coningsby Airfield BUA",5021,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000174","Boston","Majority town and city (small)","Mixed","Mid deprivation towns","No university","Low",48,73.469387755102,54.1666666666667,75,29.1666666666667,20.8333333333333,31.25,22.9166666666667,54.1666666666667,29.1666666666667,NA,NA,36,44,NA,3.02083333333333,-3.9569896
"22","E34000188","Amble BUA",6025,"Small Towns","North East","Coastal","Smaller seaside town","E30000173","Blyth and Ashington","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",69,53.6585365853659,40.5797101449275,65.2173913043478,30.4347826086957,28.9855072463768,23.1884057971014,17.3913043478261,39.1304347826087,20.2898550724638,NA,NA,35.7,40,NA,3.17391304347826,-7.090910923
"23","E34000193","Skelton (Redcar and Cleveland) BUA",6535,"Small Towns","North East","Non-coastal","Smaller non-coastal town","E30000093","Middlesbrough and Stockton","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",91,85.0574712643678,60.4395604395604,86.8131868131868,50.5494505494505,27.4725274725275,24.1758241758242,16.4835164835165,47.2527472527472,14.2857142857143,10.989010989011,NA,14.6,60.7,NA,3.53846153846154,1.381818433
"24","E34000231","Seaford BUA",22584,"Medium Towns","South East","Coastal","Large seaside town","E30000204","Eastbourne","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Medium",223,71.2918660287081,64.1255605381166,86.9955156950673,52.0179372197309,31.390134529148,14.3497757847534,8.52017937219731,53.3632286995516,25.5605381165919,5.82959641255605,NA,17.9,56.7,24.6,3.51121076233184,0.183946279
"25","E34000234","Ryhill BUA",5150,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000283","Wakefield and Castleford","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",56,61.5384615384615,60.7142857142857,76.7857142857143,39.2857142857143,17.8571428571429,NA,NA,48.2142857142857,23.2142857142857,NA,NA,41.1,39.3,NA,3.01785714285714,-3.813706933
"26","E34000242","Budleigh Salterton BUA",5185,"Small Towns","South West","Coastal","Smaller seaside town","E30000206","Exeter","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",41,78.0487804878049,65.8536585365854,82.9268292682927,51.219512195122,48.780487804878,NA,NA,48.780487804878,NA,NA,NA,24.4,34.1,NA,3.63414634146341,1.419986073
"27","E34000250","Great Dunmow BUA",7749,"Small Towns","East of England","Non-coastal","Smaller non-coastal town","E30000188","Chelmsford","Majority town and city (Large Towns)","Mixed","Lower deprivation towns","No university","Medium",76,82.8571428571429,60.5263157894737,86.8421052631579,43.421052631579,26.3157894736842,14.4736842105263,NA,59.2105263157895,36.8421052631579,NA,NA,32,46.7,NA,3.25,-0.309563755
"28","E34000271","Wideopen BUA",8976,"Small Towns","North East","Non-coastal","Smaller non-coastal town","E30000245","Newcastle","Majority conurbation","Mixed","Mid deprivation towns","No university","Low",78,74.7126436781609,60.2564102564103,83.3333333333333,41.025641025641,25.6410256410256,34.6153846153846,25.6410256410256,58.974358974359,29.4871794871795,NA,NA,20.5,50,NA,3.44871794871795,-0.955169026
"29","E34000273","Frodsham BUA",9032,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000284","Warrington and Wigan","Majority conurbation","Residential","Lower deprivation towns","No university","Medium",108,81.8181818181818,72.2222222222222,81.4814814814815,59.2592592592593,46.2962962962963,18.5185185185185,11.1111111111111,44.4444444444444,16.6666666666667,NA,NA,21.3,33.3,41.7,3.91666666666667,3.999734957
"30","E34000278","Rothwell BUA",7694,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000224","Kettering and Wellingborough","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",96,63.6363636363636,41.6666666666667,75,31.25,15.625,21.875,14.5833333333333,62.5,29.1666666666667,10.4166666666667,NA,38.3,42.6,NA,3.02083333333333,-6.163408673
"31","E34000290","Chard BUA",13074,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000293","Yeovil","Majority rural","Mixed","Higher deprivation towns","No university","Low",166,68.452380952381,41.566265060241,77.1084337349398,42.1686746987952,21.0843373493976,26.5060240963855,15.6626506024096,51.8072289156626,29.5180722891566,13.2530120481928,NA,34.8,44.5,18.3,3.15060240963855,-4.268131254
"32","E34000306","Hook (Hart) BUA",7934,"Small Towns","South East","Non-coastal","Smaller non-coastal town","E30000164","Basingstoke","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","High",100,75.7575757575758,71,86,61,55,11,NA,53,23,NA,NA,17.2,34.3,45.5,4.11,3.860304863
"33","E34000310","Rainworth BUA",7693,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000240","Mansfield","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",87,70.4545454545455,60.9195402298851,80.4597701149425,51.7241379310345,28.735632183908,31.0344827586207,18.3908045977011,52.8735632183908,33.3333333333333,13.7931034482759,NA,27.1,49.4,NA,3.51724137931034,-0.241286848
"34","E34000313","Beverley BUA",30587,"Medium Towns","Yorkshire and The Humber","Non-coastal","Large non-coastal town","E30000220","Hull","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","Medium",342,81.1267605633803,64.9122807017544,87.719298245614,58.4795321637427,38.0116959064327,22.8070175438596,15.4970760233918,45.6140350877193,19.0058479532164,8.7719298245614,NA,15.2,51,32.3,3.78654970760234,2.763057391
"35","E34000327","Haverhill BUA",27041,"Medium Towns","East of England","Non-coastal","Large non-coastal town","E30000186","Cambridge","Majority town and city (Large Towns)","Mixed","Mid deprivation towns","No university","Low",322,65.5384615384615,57.1428571428571,92.2360248447205,42.5465838509317,27.9503105590062,18.944099378882,13.0434782608696,58.3850931677019,34.472049689441,7.45341614906832,NA,34.3,41.4,23.1,3.31987577639752,-2.564226331
"36","E34000353","St Leonards BUA",5984,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000175","Bournemouth","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",39,93.3333333333333,69.2307692307692,92.3076923076923,69.2307692307692,51.2820512820513,NA,NA,53.8461538461538,NA,NA,NA,NA,43.2,NA,4.15384615384615,6.610611497
"37","E34000360","Upton (Wakefield) BUA",5874,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000283","Wakefield and Castleford","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",85,73.2558139534884,75.2941176470588,94.1176470588235,41.1764705882353,23.5294117647059,22.3529411764706,14.1176470588235,47.0588235294118,30.5882352941176,NA,NA,31.3,55.4,NA,3.12941176470588,-0.513536679
"38","E34000363","Wincanton BUA",5435,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000293","Yeovil","Majority rural","Working","Mid deprivation towns","No university","Low",63,66.6666666666667,36.5079365079365,76.1904761904762,33.3333333333333,23.8095238095238,23.8095238095238,NA,55.5555555555556,28.5714285714286,NA,NA,35.5,45.2,NA,3.06349206349206,-6.01236232
"39","E34000387","Chinnor BUA",5473,"Small Towns","South East","Non-coastal","Smaller non-coastal town","E30000218","High Wycombe and Aylesbury","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",74,80.2816901408451,44.5945945945946,79.7297297297297,54.0540540540541,40.5405405405405,14.8648648648649,NA,50,24.3243243243243,NA,NA,29.2,33.3,34.7,3.63513513513514,-0.164720472
"40","E34000396","Thurcroft BUA",5115,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000261","Sheffield","Majority conurbation","Residential","Higher deprivation towns","No university","Low",62,66.6666666666667,45.1612903225806,72.5806451612903,32.258064516129,16.1290322580645,29.0322580645161,19.3548387096774,35.4838709677419,NA,16.1290322580645,NA,41.7,45,NA,2.66129032258065,-6.371799113
"41","E34000403","Exmouth BUA",34432,"Medium Towns","South West","Coastal","Large seaside town","E30000206","Exeter","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Medium",389,67.3629242819843,51.6709511568123,83.8046272493573,42.9305912596401,25.706940874036,16.7095115681234,12.853470437018,48.8431876606684,23.1362467866324,6.16966580976864,NA,38.2,39.5,20.7,3.15167095115681,-3.325032651
"42","E34000409","Bolton-le-Sands BUA",6995,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000076","Lancaster and Morecambe","Majority town and city (small)","Residential","Lower deprivation towns","No university","Medium",70,84,82.8571428571429,97.1428571428571,65.7142857142857,57.1428571428571,NA,NA,51.4285714285714,17.1428571428571,NA,NA,20,37.1,42.9,4.08571428571429,6.357287162
"43","E34000416","Crediton BUA",7835,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000206","Exeter","Majority town and city (Large Towns)","Working","Mid deprivation towns","No university","Medium",94,72,58.5106382978723,84.0425531914894,43.6170212765958,21.2765957446809,22.3404255319149,10.6382978723404,50,23.4042553191489,NA,NA,34,43.6,NA,3.23404255319149,-1.812283999
"44","E34000430","Henley-on-Thames BUA",11494,"Small Towns","South East","Non-coastal","Smaller non-coastal town","E30000256","Reading","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","High",100,81,68,83,64,50,NA,NA,50,24,NA,NA,17.8,44.6,34.7,3.72,3.362878498
"45","E34000440","Snodland BUA",10211,"Small Towns","South East","Non-coastal","Smaller non-coastal town","E30000242","Medway","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Low",125,85.4838709677419,54.4,79.2,39.2,16,16,10.4,51.2,32.8,10.4,NA,44.1,37.8,NA,2.896,-1.970367969
"46","E34000458","Meltham BUA",7836,"Small Towns","Yorkshire and The Humber","Non-coastal","Smaller non-coastal town","E30000219","Huddersfield","Majority conurbation","Residential","Mid deprivation towns","No university","Medium",97,81.9047619047619,79.3814432989691,95.8762886597938,64.9484536082474,51.5463917525773,18.5567010309278,16.4948453608247,48.4536082474227,20.6185567010309,NA,NA,NA,48.5,41.2,4.12371134020619,5.804185058
"47","E34000469","Minehead BUA",11981,"Small Towns","South West","Coastal","Smaller seaside town","E30000095","Minehead","Majority rural","Working","Higher deprivation towns","No university","Low",111,64.8148148148148,48.6486486486487,88.2882882882883,45.945945945946,27.027027027027,26.1261261261261,10.8108108108108,50.4504504504504,23.4234234234234,NA,NA,31.3,41.1,26.8,3.44144144144144,-2.847094207
"48","E34000473","Daventry BUA",23879,"Medium Towns","East Midlands","Non-coastal","Large non-coastal town","E30000247","Northampton","Majority town and city (Large Towns)","Working","Mid deprivation towns","No university","Low",315,71.7791411042945,50.4761904761905,73.968253968254,37.4603174603175,28.5714285714286,18.0952380952381,12.0634920634921,58.7301587301587,30.1587301587302,8.25396825396825,3.2,35.4,37.7,23.7,3.19365079365079,-3.297142446
"49","E34000482","Keyworth BUA",6733,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000249","Nottingham","Majority conurbation","Residential","Lower deprivation towns","No university","Medium",71,90.4109589041096,70.4225352112676,94.3661971830986,63.3802816901408,49.2957746478873,21.1267605633803,14.0845070422535,42.2535211267606,23.943661971831,NA,NA,19.7,36.6,42.3,4.07042253521127,5.628841984
"50","E34000490","Deal BUA",30555,"Medium Towns","South East","Coastal","Large seaside town","E30000241","Margate and Ramsgate","Majority town and city (small)","Residential","Higher deprivation towns","No university","Low",350,68.4971098265896,46.5714285714286,78.8571428571429,45.1428571428571,30,17.7142857142857,8.28571428571428,40,20.5714285714286,10,3.1,35.2,36.1,25.6,3.28,-3.141037157
"51","E34000499","Hythe BUA",20201,"Medium Towns","South East","Non-coastal","Large non-coastal town","E30000267","Southampton","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",233,75.2066115702479,55.3648068669528,78.9699570815451,42.4892703862661,21.4592274678112,23.6051502145923,15.450643776824,56.6523605150215,33.4763948497854,9.87124463519313,NA,30.9,47.6,19.3,3.18454935622318,-1.985380107
"52","E34000504","Ibstock BUA",5650,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000230","Leicester","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Low",89,58.695652173913,51.685393258427,86.5168539325843,49.438202247191,33.7078651685393,23.5955056179775,15.7303370786517,57.3033707865169,35.9550561797753,NA,NA,28.6,41.8,27.5,3.46067415730337,-2.899667069
"53","E34000508","Market Deeping BUA",13574,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000108","Peterborough","Majority town and city (Large Towns)","Residential","Lower deprivation towns","No university","Medium",186,80.4597701149425,67.2043010752688,86.5591397849462,64.5161290322581,40.3225806451613,22.5806451612903,13.9784946236559,55.3763440860215,27.4193548387097,NA,NA,18.7,44.9,34.8,3.80645161290323,3.507476118
"54","E34000509","Horncastle BUA",6815,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000264","Skegness and Louth","Majority town and city (small)","Working","Higher deprivation towns","No university","Low",73,84.7222222222222,65.7534246575342,82.1917808219178,54.7945205479452,41.0958904109589,17.8082191780822,NA,49.3150684931507,23.2876712328767,NA,NA,25.7,33.8,40.5,3.95890410958904,3.418697624
"55","E34000521","Glastonbury BUA",8471,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000274","Street and Wells","Majority rural","Working","Higher deprivation towns","No university","Medium",89,71.264367816092,60.6741573033708,83.1460674157303,51.685393258427,28.0898876404494,16.8539325842697,12.3595505617978,42.6966292134831,14.6067415730337,NA,NA,22.5,53.9,NA,3.38202247191011,-0.550202426
"56","E34000527","Witham BUA",25353,"Medium Towns","East of England","Non-coastal","Large non-coastal town","E30000188","Chelmsford","Majority town and city (Large Towns)","Working","Higher deprivation towns","No university","Low",270,65.2777777777778,56.6666666666667,82.2222222222222,37.037037037037,20.3703703703704,16.2962962962963,10.7407407407407,54.4444444444444,34.0740740740741,11.8518518518519,NA,46.3,36.2,16.8,3.03703703703704,-3.92266164
"57","E34000550","Holmes Chapel BUA",5605,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000197","Crewe","Majority town and city (small)","Mixed","Lower deprivation towns","No university","High",73,86.3013698630137,75.3424657534247,93.1506849315068,68.4931506849315,47.945205479452,20.5479452054795,19.1780821917808,50.6849315068493,24.6575342465753,NA,NA,NA,42.7,46.7,4.27397260273973,6.657041755
"58","E34000553","Whaley Bridge BUA",5140,"Small Towns","East Midlands","Non-coastal","Smaller non-coastal town","E30000239","Manchester","Majority conurbation","Mixed","Lower deprivation towns","No university","Medium",67,70.3125,70.1492537313433,91.044776119403,68.6567164179104,52.2388059701493,NA,NA,46.2686567164179,23.8805970149254,NA,NA,NA,50.8,38.5,4.1044776119403,3.806320645
"59","E34000567","Gerrards Cross BUA",20633,"Medium Towns","South East","Non-coastal","Large non-coastal town","E30000218","High Wycombe and Aylesbury","Majority town and city (Large Towns)","Working","Lower deprivation towns","No university","High",246,88.265306122449,85.3658536585366,96.734693877551,80,71.1382113821138,7.72357723577236,4.47154471544715,36.5853658536585,10.5691056910569,NA,NA,6.5,32.5,58.9,4.65040650406504,9.95812099
"60","E34000573","Ulverston BUA",11356,"Small Towns","North West","Non-coastal","Smaller non-coastal town","E30000163","Barrow-in-Furness","Majority town and city (small)","Working","Lower deprivation towns","No university","Medium",117,82.258064516129,58.974358974359,81.1965811965812,52.1367521367521,21.3675213675214,40.1709401709402,23.0769230769231,47.8632478632479,23.9316239316239,10.2564102564103,NA,24.1,56.9,NA,3.23076923076923,0.193445297
"61","E34000574","Chapeltown BUA",23056,"Medium Towns","Yorkshire and The Humber","Non-coastal","Large non-coastal town","E30000261","Sheffield","Majority conurbation","Mixed","Mid deprivation towns","No university","Low",269,73.7037037037037,70.2602230483271,84.3866171003718,50.9293680297398,29.7397769516729,27.5092936802974,18.5873605947955,60.2230483271376,29.368029739777,10.0371747211896,NA,20.2,52.4,26.2,3.59851301115242,1.220084116
"62","E34000589","Hornsea BUA",8432,"Small Towns","Yorkshire and The Humber","Coastal","Smaller seaside town","E30000220","Hull","Majority town and city (Large Towns)","Residential","Higher deprivation towns","No university","Medium",98,81.1881188118812,68.3673469387755,81.6326530612245,53.0612244897959,30.6122448979592,23.469387755102,15.3061224489796,46.9387755102041,18.3673469387755,NA,NA,31.3,43.4,25.3,3.40816326530612,1.573747159
"63","E34000591","Wem BUA",5870,"Small Towns","West Midlands","Non-coastal","Smaller non-coastal town","E30000262","Shrewsbury","Majority town and city (Large Towns)","Residential","Mid deprivation towns","No university","Low",70,82.3529411764706,64.2857142857143,87.1428571428571,57.1428571428571,35.7142857142857,20,NA,44.2857142857143,17.1428571428571,NA,NA,18.6,50,NA,3.57142857142857,2.12673052
"64","E34000597","Loughborough BUA",59932,"Medium Towns","East Midlands","Non-coastal","Large non-coastal town","E30000230","Leicester","Majority town and city (Large Towns)","Working","Mid deprivation towns","University","Medium",497,72.8301886792453,50.7042253521127,79.476861167002,43.4607645875252,36.2173038229376,19.9195171026157,11.8712273641851,48.4909456740443,22.7364185110664,6.63983903420523,3.4,29.9,36.7,30.1,3.46680080482897,-1.853352661
"65","E34000628","Maghull BUA",26997,"Medium Towns","North West","Non-coastal","Large non-coastal town","E30000233","Liverpool","Majority conurbation","Residential","Lower deprivation towns","No university","Medium",304,84.1584158415842,69.078947368421,88.8157894736842,53.9473684210526,47.6973684210526,23.3552631578947,14.8026315789474,58.5526315789474,18.0921052631579,5.26315789473684,NA,18.3,42.2,39.2,4.00986842105263,3.747497559
"66","E34000633","Southport BUA",91703,"Large Towns","North West","Coastal","Large seaside town","E30000233","Liverpool","Majority conurbation","Mixed","Higher deprivation towns","No university","Medium",1005,78.9526686807654,63.9800995024876,87.1641791044776,58.0099502487562,42.7860696517413,17.6119402985075,9.85074626865672,45.771144278607,14.5273631840796,7.2636815920398,1.9,18.1,46.6,33.4,3.76716417910448,2.319207046
"67","E34000645","Thornbury BUA",11687,"Small Towns","South West","Non-coastal","Smaller non-coastal town","E30000180","Bristol","Majority town and city (Large Towns)","Mixed","Lower deprivation towns","No university","Medium",160,82.1656050955414,66.25,84.375,60.625,46.875,18.75,15,60,26.875,NA,NA,21.7,40.4,37.3,3.81875,3.299333602
